VCD info: dumpfile tb_FPU.vcd opened for output.
          0 A = 00000000000000000000000000000000, B = 00000000000000000000000000000000, Sel = 00, Y = xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx, Overflow = x, Error = x
        145 A = 11000001011000000000000000000000, B = 11000010111111100000000000000000, Sel = 01, Y = 00000000000000000000000000000000, Overflow = 0, Error = 0
        146 A = 11000001011000000000000000000000, B = 11000010111111100000000000000000, Sel = 01, Y = 00000000000000000000000000000000, Overflow = 0, Error = 0
        147 A = 11000001011000000000000000000000, B = 11000010111111100000000000000000, Sel = 01, Y = 01000010111000100000000000000000, Overflow = 0, Error = 0
        148 A = 11000001111110000000000000000000, B = 11000000000000000000000000000000, Sel = 01, Y = 01000010111000100000000000000000, Overflow = 0, Error = 0
        149 A = 11000001111110000000000000000000, B = 11000000000000000000000000000000, Sel = 01, Y = 00000000000000000000000000000000, Overflow = 0, Error = 0
        150 A = 11000001111110000000000000000000, B = 11000000000000000000000000000000, Sel = 01, Y = 00000000000000000000000000000000, Overflow = 0, Error = 0
        151 A = 11000001111110000000000000000000, B = 11000000000000000000000000000000, Sel = 01, Y = 11000001111010000000000000000000, Overflow = 0, Error = 0
        152 A = 01000010010011000000000000000000, B = 01000001110110000000000000000000, Sel = 10, Y = 11000001111010000000000000000000, Overflow = 0, Error = 0
        153 A = 01000010010011000000000000000000, B = 01000001110110000000000000000000, Sel = 10, Y = 00000000000000000000000000000000, Overflow = 0, Error = 0
        154 A = 01000010010011000000000000000000, B = 01000001110110000000000000000000, Sel = 10, Y = 00000000000000000000000000000000, Overflow = 0, Error = 0
        155 A = 01000010010011000000000000000000, B = 01000001110110000000000000000000, Sel = 10, Y = 01000100101011000000000000000000, Overflow = 0, Error = 0
        156 A = 01000010111100000000000000000000, B = 01000000010000000000000000000000, Sel = 10, Y = 01000100101011000000000000000000, Overflow = 0, Error = 0
        157 A = 01000010111100000000000000000000, B = 01000000010000000000000000000000, Sel = 10, Y = 00000000000000000000000000000000, Overflow = 0, Error = 0
        158 A = 01000010111100000000000000000000, B = 01000000010000000000000000000000, Sel = 10, Y = 00000000000000000000000000000000, Overflow = 0, Error = 0
        159 A = 01000010111100000000000000000000, B = 01000000010000000000000000000000, Sel = 10, Y = 01000011101101000000000000000000, Overflow = 0, Error = 0
        160 A = 00111111100000000000000000000000, B = 01000001101100000000000000000000, Sel = 10, Y = 01000011101101000000000000000000, Overflow = 0, Error = 0
        161 A = 00111111100000000000000000000000, B = 01000001101100000000000000000000, Sel = 10, Y = 00000000000000000000000000000000, Overflow = 0, Error = 0
        162 A = 00111111100000000000000000000000, B = 01000001101100000000000000000000, Sel = 10, Y = 00000000000000000000000000000000, Overflow = 0, Error = 0
        163 A = 00111111100000000000000000000000, B = 01000001101100000000000000000000, Sel = 10, Y = 01000001101100000000000000000000, Overflow = 0, Error = 0
        164 A = 11000010010011000000000000000000, B = 01000001110110000000000000000000, Sel = 10, Y = 01000001101100000000000000000000, Overflow = 0, Error = 0
        165 A = 11000010010011000000000000000000, B = 01000001110110000000000000000000, Sel = 10, Y = 00000000000000000000000000000000, Overflow = 0, Error = 0
        166 A = 11000010010011000000000000000000, B = 01000001110110000000000000000000, Sel = 10, Y = 00000000000000000000000000000000, Overflow = 0, Error = 0
        167 A = 11000010010011000000000000000000, B = 01000001110110000000000000000000, Sel = 10, Y = 11000100101011000000000000000000, Overflow = 0, Error = 0
        168 A = 01000010111100000000000000000000, B = 11000000010000000000000000000000, Sel = 10, Y = 11000100101011000000000000000000, Overflow = 0, Error = 0
        169 A = 01000010111100000000000000000000, B = 11000000010000000000000000000000, Sel = 10, Y = 00000000000000000000000000000000, Overflow = 0, Error = 0
        170 A = 01000010111100000000000000000000, B = 11000000010000000000000000000000, Sel = 10, Y = 00000000000000000000000000000000, Overflow = 0, Error = 0
        171 A = 01000010111100000000000000000000, B = 11000000010000000000000000000000, Sel = 10, Y = 11000011101101000000000000000000, Overflow = 0, Error = 0
        172 A = 00111111100000000000000000000000, B = 11000001101100000000000000000000, Sel = 10, Y = 11000011101101000000000000000000, Overflow = 0, Error = 0
        173 A = 00111111100000000000000000000000, B = 11000001101100000000000000000000, Sel = 10, Y = 00000000000000000000000000000000, Overflow = 0, Error = 0
        174 A = 00111111100000000000000000000000, B = 11000001101100000000000000000000, Sel = 10, Y = 00000000000000000000000000000000, Overflow = 0, Error = 0
        175 A = 00111111100000000000000000000000, B = 11000001101100000000000000000000, Sel = 10, Y = 11000001101100000000000000000000, Overflow = 0, Error = 0
        176 A = 11000010010011000000000000000000, B = 11000001110110000000000000000000, Sel = 10, Y = 11000001101100000000000000000000, Overflow = 0, Error = 0
        177 A = 11000010010011000000000000000000, B = 11000001110110000000000000000000, Sel = 10, Y = 00000000000000000000000000000000, Overflow = 0, Error = 0
        178 A = 11000010010011000000000000000000, B = 11000001110110000000000000000000, Sel = 10, Y = 00000000000000000000000000000000, Overflow = 0, Error = 0
        179 A = 11000010010011000000000000000000, B = 11000001110110000000000000000000, Sel = 10, Y = 01000100101011000000000000000000, Overflow = 0, Error = 0
        180 A = 11000010111100000000000000000000, B = 11000000010000000000000000000000, Sel = 10, Y = 01000100101011000000000000000000, Overflow = 0, Error = 0
        181 A = 11000010111100000000000000000000, B = 11000000010000000000000000000000, Sel = 10, Y = 00000000000000000000000000000000, Overflow = 0, Error = 0
        182 A = 11000010111100000000000000000000, B = 11000000010000000000000000000000, Sel = 10, Y = 00000000000000000000000000000000, Overflow = 0, Error = 0
        183 A = 11000010111100000000000000000000, B = 11000000010000000000000000000000, Sel = 10, Y = 01000011101101000000000000000000, Overflow = 0, Error = 0
        184 A = 10111111100000000000000000000000, B = 11000001101100000000000000000000, Sel = 10, Y = 01000011101101000000000000000000, Overflow = 0, Error = 0
        185 A = 10111111100000000000000000000000, B = 11000001101100000000000000000000, Sel = 10, Y = 00000000000000000000000000000000, Overflow = 0, Error = 0
        186 A = 10111111100000000000000000000000, B = 11000001101100000000000000000000, Sel = 10, Y = 00000000000000000000000000000000, Overflow = 0, Error = 0
        187 A = 10111111100000000000000000000000, B = 11000001101100000000000000000000, Sel = 10, Y = 01000001101100000000000000000000, Overflow = 0, Error = 0
        188 A = 01000001100010000000000000000000, B = 01000000010000000000000000000000, Sel = 11, Y = 01000001101100000000000000000000, Overflow = 0, Error = 0
        189 A = 01000001100010000000000000000000, B = 01000000010000000000000000000000, Sel = 11, Y = 00000000000000000000000000000000, Overflow = 0, Error = 0
